jaar	koop	parthuur	wooncorp
2000	4.50	8.47	1.15
2001	4.50	8.47	1.15
2002	4.50	8.47	1.15
2003	4.50	8.47	1.15
2004	4.15	7.81	1.15
2005	3.76	7.08	1.15
2006	4.38	8.24	1.15
2007	4.97	9.36	1.15
2008	5.34	10.05	1.15
2009	4.86	9.15	1.15
2010	4.52	8.51	1.15
2011	4.55	8.56	1.15
2012	4.27	8.04	1.15
2013	3.78	7.12	1.15
2014	3.37	6.34	1.15
2015	2.93	5.52	1.15
2016	2.59	4.88	1.15
2017	2.41	4.54	1.15
2018	2.40	4.5v	1.15
2019	2.27	4.27	1.15
2020	1.89	3.56	1.15
2021	1.70	3.20	1.15
2022	1.70	3.2	1.15
2023	1.70	3.2	1.15
2024	1.70	3.2	1.15
2025	1.70	3.2	1.15
2026	1.70	3.2	1.15
2027	1.70	3.2	1.15
2028	1.70	3.2	1.15
2029	1.70	3.2	1.15
2030	1.70	3.2	1.15
2031	1.70	3.2	1.15
2032	1.70	3.2	1.15
2033	1.70	3.2	1.15
2034	1.70	3.2	1.15
2035	1.70	3.2	1.15
2036	1.70	3.2	1.15
2037	1.70	3.2	1.15
2038	1.70	3.2	1.15
2039	1.70	3.2	1.15
2040	1.70	3.2	1.15
2041	1.70	3.2	1.15
2042	1.70	3.2	1.15
2043	1.70	3.2	1.15
2044	1.70	3.2	1.15
2045	1.70	3.2	1.15
2046	1.70	3.2	1.15
2047	1.70	3.2	1.15
2048	1.70	3.2	1.15
2049	1.70	3.2	1.15
2050	1.70	3.2	1.15
