Jaar;P_CO2;RAT_CO2_KWH;P_CO2_KWH;KG_PC_COM_EXCL_CO2;KG_PC_CO2;KG_PC_DIS;KG_PC_TRANS;KG_PC_NET;KG_PC_SDE;KG_PC_BEL_EL;KG_PC_BTW;KG_P;KMG_PC_COM_EXCL_CO2;KMG_PC_CO2;KMG_PC_DIS;KMG_PC_TRANS;KMG_PC_NET;KMG_PC_SDE;KMG_PC_BEL_EL;KMG_PC_BTW;KMG_P;MMG_PC_COM_EXCL_CO2;MMG_PC_CO2;MMG_PC_DIS;MMG_PC_TRANS;MMG_PC_NET;MMG_PC_SDE;MMG_PC_BEL_EL;MMG_PC_BTW;MMG_P;GG_PC_COM_EXCL_CO2;GG_PC_CO2;GG_PC_DIS;GG_PC_TRANS;GG_PC_NET;GG_PC_SDE;GG_PC_BEL_EL;GG_PC_BTW;GG_P;GLAST_PC_COM_EXCL_CO2;GLAST_PC_CO2;GLAST_PC_DIS;GLAST_PC_TRANS;GLAST_PC_NET;GLAST_PC_SDE;GLAST_PC_BEL_EL;GLAST_PC_BTW;GLAST_P
2010;3.7;1.78;0.000;0.246;0.000;0.000;0.140;0.140;0.000;0.163;0.104;0.653;0.246;0.000;0.030;0.099;0.130;0.000;0.141;0.000;0.517;0.246;0.000;0.009;0.099;0.109;0.000;0.039;0.000;0.393;0.246;0.000;0.010;0.060;0.069;0.000;0.012;0.000;0.327;0.246;0.000;0.009;0.099;0.109;0.000;0.024;0.000;0.378
2011;3.7;1.78;0.000;0.246;0.000;0.000;0.148;0.148;0.000;0.160;0.105;0.659;0.246;0.000;0.030;0.103;0.134;0.000;0.138;0.000;0.517;0.246;0.000;0.009;0.103;0.112;0.000;0.039;0.000;0.397;0.246;0.000;0.010;0.061;0.071;0.000;0.012;0.000;0.329;0.246;0.000;0.009;0.103;0.112;0.000;0.023;0.000;0.381
2012;3.7;1.78;0.000;0.246;0.000;0.000;0.148;0.148;0.000;0.158;0.116;0.668;0.246;0.000;0.030;0.103;0.133;0.000;0.137;0.000;0.516;0.246;0.000;0.009;0.103;0.112;0.000;0.040;0.000;0.398;0.246;0.000;0.010;0.061;0.070;0.000;0.012;0.000;0.328;0.246;0.000;0.009;0.103;0.112;0.000;0.023;0.000;0.381
2013;3.7;1.78;0.000;0.246;0.000;0.000;0.149;0.149;0.002;0.172;0.119;0.688;0.246;0.000;0.030;0.103;0.133;0.002;0.172;0.000;0.553;0.246;0.000;0.009;0.103;0.112;0.001;0.044;0.000;0.402;0.246;0.000;0.010;0.061;0.070;0.002;0.015;0.000;0.333;0.246;0.000;0.009;0.103;0.112;0.002;0.028;0.000;0.388
2014;3.7;1.78;0.000;0.247;0.000;0.000;0.149;0.149;0.004;0.175;0.121;0.696;0.247;0.000;0.030;0.103;0.133;0.004;0.175;0.000;0.560;0.247;0.000;0.009;0.103;0.112;0.002;0.045;0.000;0.405;0.247;0.000;0.010;0.061;0.070;0.004;0.015;0.000;0.337;0.247;0.000;0.009;0.103;0.112;0.004;0.028;0.000;0.391
2015;3.7;1.78;0.000;0.249;0.000;0.000;0.149;0.149;0.007;0.175;0.122;0.701;0.249;0.000;0.030;0.103;0.133;0.007;0.175;0.000;0.564;0.249;0.000;0.009;0.103;0.112;0.003;0.068;0.000;0.431;0.249;0.000;0.010;0.061;0.070;0.007;0.023;0.000;0.349;0.249;0.000;0.009;0.103;0.112;0.007;0.028;0.000;0.395
2016;3.7;1.78;0.000;0.250;0.000;0.000;0.149;0.149;0.010;0.229;0.134;0.772;0.250;0.000;0.030;0.103;0.133;0.010;0.229;0.000;0.623;0.250;0.000;0.009;0.103;0.112;0.004;0.070;0.000;0.436;0.250;0.000;0.010;0.061;0.070;0.010;0.023;0.000;0.354;0.250;0.000;0.009;0.103;0.112;0.010;0.037;0.000;0.409
2017;3.7;1.78;0.000;0.252;0.000;0.000;0.149;0.149;0.014;0.229;0.135;0.779;0.252;0.000;0.030;0.103;0.133;0.014;0.229;0.000;0.628;0.252;0.000;0.009;0.103;0.112;0.014;0.070;0.000;0.448;0.252;0.000;0.010;0.061;0.070;0.014;0.023;0.000;0.359;0.252;0.000;0.009;0.103;0.112;0.014;0.037;0.000;0.415
2018;3.7;1.78;0.000;0.253;0.000;0.000;0.149;0.149;0.023;0.229;0.137;0.791;0.253;0.000;0.030;0.103;0.133;0.023;0.229;0.000;0.638;0.253;0.000;0.009;0.103;0.112;0.023;0.070;0.000;0.457;0.253;0.000;0.010;0.061;0.070;0.022;0.023;0.000;0.369;0.253;0.000;0.009;0.103;0.112;0.022;0.037;0.000;0.424
2019;3.7;1.78;0.000;0.255;0.000;0.000;0.149;0.149;0.037;0.229;0.141;0.810;0.255;0.000;0.030;0.103;0.133;0.037;0.229;0.000;0.654;0.255;0.000;0.009;0.103;0.112;0.037;0.070;0.000;0.473;0.255;0.000;0.010;0.061;0.070;0.036;0.023;0.000;0.384;0.255;0.000;0.009;0.103;0.112;0.036;0.037;0.000;0.440
2020;3.7;1.78;0.000;0.256;0.000;0.000;0.149;0.149;0.049;0.229;0.144;0.827;0.256;0.000;0.030;0.103;0.133;0.049;0.229;0.000;0.667;0.256;0.000;0.009;0.103;0.112;0.049;0.070;0.000;0.487;0.256;0.000;0.010;0.061;0.070;0.048;0.023;0.000;0.398;0.256;0.000;0.009;0.103;0.112;0.048;0.037;0.000;0.453
