type_str,bouwjaar_str,Default_label,Vrv_N_asl,Vrv_N_opp,Vrv_G_asl,Vrv_G_opp,Vrv_F_asl,Vrv_F_opp,Vrv_E_asl,Vrv_E_opp,Vrv_D_asl,Vrv_D_opp,Vrv_C_asl,Vrv_C_opp,Vrv_B_asl,Vrv_B_opp,Vrv_A_asl,Vrv_A_opp,Vvent_asl,Vvent_opp,Vww_asl,Vww_opp,Ve_asl,Ve_opp,Vk_asl,Vk_opp
bloemen belicht,onbekend,onbekend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333161598,0,0
groente belicht,onbekend,onbekend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333161598,0,0
overig belicht,onbekend,onbekend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333161598,0,0
bloemen verwarmd,onbekend,onbekend,0,0.941814,0,0.941814,0,0.941814,0,0.941814,0,0.941814,0,0.941814,0,0.941814,0,0.941814,0,0,0,0,0,0,0,0
groente verwarmd,onbekend,onbekend,0,1.092042,0,1.092042,0,1.092042,0,1.092042,0,1.092042,0,1.092042,0,1.092042,0,1.092042,0,0,0,0,0,0,0,0
overig verwarmd,onbekend,onbekend,0,1.016928,0,1.016928,0,1.016928,0,1.016928,0,1.016928,0,1.016928,0,1.016928,0,1.016928,0,0,0,0,0,0,0,0
bloemen onbelicht,onbekend,onbekend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
groente onbelicht,onbekend,onbekend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
overig onbelicht,onbekend,onbekend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bloemen onverwarmd,onbekend,onbekend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
groente onverwarmd,onbekend,onbekend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
overig onverwarmd,onbekend,onbekend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
