Jaar;P_CO2;RAT_CO2_KWH;P_CO2_KWH;KG_PC_COM_EXCL_CO2;KG_PC_CO2;KG_PC_DIS;KG_PC_TRANS;KG_PC_NET;KG_PC_SDE;KG_PC_BEL_EL;KG_PC_BTW;KG_P;KMG_PC_COM_EXCL_CO2;KMG_PC_CO2;KMG_PC_DIS;KMG_PC_TRANS;KMG_PC_NET;KMG_PC_SDE;KMG_PC_BEL_EL;KMG_PC_BTW;KMG_P;MMG_PC_COM_EXCL_CO2;MMG_PC_CO2;MMG_PC_DIS;MMG_PC_TRANS;MMG_PC_NET;MMG_PC_SDE;MMG_PC_BEL_EL;MMG_PC_BTW;MMG_P;GG_PC_COM_EXCL_CO2;GG_PC_CO2;GG_PC_DIS;GG_PC_TRANS;GG_PC_NET;GG_PC_SDE;GG_PC_BEL_EL;GG_PC_BTW;GG_P;GLAST_PC_COM_EXCL_CO2;GLAST_PC_CO2;GLAST_PC_DIS;GLAST_PC_TRANS;GLAST_PC_NET;GLAST_PC_SDE;GLAST_PC_BEL_EL;GLAST_PC_BTW;GLAST_P
2010;16.3;0;0;0.354;0;0;0;0;0;0.183;0.102;0.639;0.321;0;0;0;0;0;0.164;0;0.485;0.228;0;0;0;0;0;0.044;0;0.271;0.228;0;0;0;0;0;0.009;0;0.237;0.228;0;0;0;0;0;0.022;0;0.25
2011;14.4;0;0;0.371;0;0;0;0;0;0.179;0.104;0.654;0.337;0;0;0;0;0;0.16;0;0.497;0.253;0;0;0;0;0;0.043;0;0.295;0.253;0;0;0;0;0;0.009;0;0.262;0.253;0;0;0;0;0;0.022;0;0.274
2012;7.9;0;0;0.397;0;0;0;0;0;0.177;0.121;0.695;0.342;0;0;0;0;0;0.159;0;0.5;0.268;0;0;0;0;0;0.042;0;0.31;0.268;0;0;0;0;0;0.009;0;0.277;0.268;0;0;0;0;0;0.021;0;0.289
2013;4.8;0;0;0.389;0;0;0;0;0.002;0.195;0.123;0.709;0.339;0;0;0;0;0.002;0.191;0;0.532;0.274;0;0;0;0;0.001;0.046;0;0.321;0.274;0;0;0;0;0;0.012;0;0.286;0.274;0;0;0;0;0;0.023;0;0.297
2014;6.3;0;0;0.367;0;0;0;0;0.005;0.197;0.119;0.688;0.338;0;0;0;0;0.005;0.193;0;0.536;0.236;0;0;0;0;0.002;0.046;0;0.284;0.236;0;0;0;0;0;0.012;0;0.249;0.236;0;0;0;0;0.001;0.023;0;0.261
2015;8.3;0;0;0.346;0;0;0;0;0.008;0.199;0.116;0.669;0.32;0;0;0;0;0.008;0.195;0;0.522;0.228;0;0;0;0;0.003;0.07;0;0.301;0.228;0;0;0;0;0.001;0.012;0;0.241;0.228;0;0;0;0;0.001;0.024;0;0.253
2016;5.8;0;0;0.293;0;0;0;0;0.012;0.261;0.119;0.685;0.267;0;0;0;0;0.012;0.256;0;0.534;0.172;0;0;0;0;0.004;0.072;0;0.249;0.172;0;0;0;0;0.001;0.013;0;0.186;0.172;0;0;0;0;0.002;0.024;0;0.199
2017;5.9;0;0;0.274;0;0;0;0;0.016;0.257;0.115;0.662;0.238;0;0;0;0;0.016;0.252;0;0.506;0.178;0;0;0;0;0.008;0.063;0;0.249;0.178;0;0;0;0;0.001;0.012;0;0.192;0.178;0;0;0;0;0.003;0.024;0;0.204
2018;15.7;0;0;0.285;0;0;0;0;0.028;0.26;0.12;0.694;0.232;0;0;0;0;0.028;0.255;0;0.515;0.204;0;0;0;0;0.011;0.065;0;0.279;0.204;0;0;0;0;0.002;0.013;0;0.219;0.204;0;0;0;0;0.004;0.024;0;0.232
2019;21.6;0;0;0.323;0;0;0;0;0.051;0.286;0.139;0.8;0.277;0;0;0;0;0.051;0.286;0;0.615;0.211;0;0;0;0;0.016;0.064;0;0.291;0.211;0;0;0;0;0.006;0.023;0;0.24;0.211;0;0;0;0;0.006;0.046;0;0.263
